student_ID,course_ID,subject,semester,section,int,uv,percomp,tv,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,date.x,post_int,post_uv,post_tv,post_percomp,date.y,date
43146,FrScA-S216-02,FrScA,S216,02,4.2,3.6666666666666665,4,3.857142857142857,4,4,4,5,4,4,4,4,3,4,2016-02-02T18:44:00Z,NA,NA,NA,NA,NA,NA
44638,OcnA-S116-01,OcnA,S116,01,4,3,3,3.5714285714285716,4,2,2,4,4,4,4,4,3,4,2015-09-09T13:41:00Z,NA,NA,NA,NA,NA,NA
47448,FrScA-S216-01,FrScA,S216,01,4.2,3,3,3.7142857142857144,5,3,3,4,4,3,3,4,3,4,2016-01-28T14:01:00Z,NA,NA,NA,NA,NA,NA
47979,OcnA-S216-01,OcnA,S216,01,4,3.6666666666666665,2.5,3.857142857142857,4,3,2,4,4,4,3,4,4,4,2016-01-27T13:04:00Z,NA,NA,NA,NA,NA,NA
48797,PhysA-S116-01,PhysA,S116,01,3.8,3.6666666666666665,3.5,3.7142857142857144,4,4,3,4,4,4,4,4,3,3,2015-09-14T16:01:00Z,NA,NA,NA,NA,NA,NA
51943,FrScA-S216-03,FrScA,S216,03,3.8,3.6666666666666665,3.5,3.7142857142857144,4,4,3,4,3,3,4,4,4,4,2016-02-17T19:30:00Z,NA,NA,NA,NA,NA,NA
52326,AnPhA-S216-01,AnPhA,S216,01,3.6,4,3,4,4,4,4,2,4,4,2,4,4,4,2016-02-09T16:43:00Z,NA,NA,NA,NA,NA,NA
52446,PhysA-S116-01,PhysA,S116,01,4.2,3.6666666666666665,3,4,4,4,3,4,4,4,3,5,3,4,2015-09-19T21:36:00Z,3.5,3.6666666666666665,3.5714285714285716,3.5,2016-01-02T00:41:00Z,NA
53447,FrScA-S116-01,FrScA,S116,01,3.8,2,3,3,5,2,3,4,4,2,3,4,2,2,2015-09-22T18:06:00Z,3.75,2,3,3,2015-10-13T14:11:00Z,NA
53475,FrScA-S216-01,FrScA,S216,01,4.8,3.3333333333333335,4,4.142857142857143,5,4,4,5,5,3,4,5,3,4,2016-02-02T15:14:00Z,NA,NA,NA,NA,NA,NA
54066,OcnA-S116-01,OcnA,S116,01,4.6,4.666666666666667,4,4.714285714285714,4,5,4,4,5,5,4,5,4,5,2015-09-09T14:10:00Z,5,4.666666666666667,4.857142857142857,4,2015-09-14T14:18:00Z,NA
54282,OcnA-S116-02,OcnA,S116,02,3.4,2,3.5,2.7142857142857144,3,1,3,4,4,3,4,3,2,3,2015-09-10T11:54:00Z,NA,NA,NA,NA,NA,NA
54342,OcnA-S116-02,OcnA,S116,02,4,3,3.5,3.5714285714285716,4,3,3,4,4,3,4,4,3,4,2015-09-09T13:16:00Z,NA,NA,NA,NA,NA,NA
54346,OcnA-S116-01,OcnA,S116,01,4.4,2,3,3.2857142857142856,4,2,2,5,5,3,4,5,1,3,2015-09-09T14:41:00Z,4,2.6666666666666665,3.4285714285714284,3.5,2016-01-06T00:01:00Z,NA
54434,PhysA-S116-01,PhysA,S116,01,5,5,4,5,5,5,4,5,5,5,4,5,5,5,2015-09-11T12:28:00Z,3.75,4,3.857142857142857,4,2016-01-03T23:02:00Z,NA
54567,OcnA-S216-02,OcnA,S216,02,4,3.6666666666666665,3.5,3.857142857142857,4,4,3,4,4,4,4,4,3,4,2016-01-25T16:15:00Z,NA,NA,NA,NA,NA,NA
55078,FrScA-S216-01,FrScA,S216,01,4.4,3.6666666666666665,3,4.142857142857143,4,4,3,4,4,4,3,5,3,5,2016-01-27T18:24:00Z,NA,NA,NA,NA,NA,NA
55140,PhysA-S116-01,PhysA,S116,01,5,4,4.5,4.571428571428571,5,4,4,5,5,4,5,5,4,5,2015-10-05T15:13:00Z,4.75,3.6666666666666665,4.285714285714286,3.5,2015-09-14T14:45:00Z,NA
55283,FrScA-S116-01,FrScA,S116,01,5,3.6666666666666665,4,4.428571428571429,5,3,4,5,5,5,4,5,3,5,2015-09-22T17:49:00Z,NA,NA,NA,NA,NA,NA
56152,AnPhA-S116-02,AnPhA,S116,02,4.8,4.333333333333333,4,4.714285714285714,5,5,3,4,5,5,5,5,3,5,2015-10-08T19:42:00Z,NA,NA,NA,NA,NA,NA
57188,AnPhA-S116-02,AnPhA,S116,02,4,5,3.5,4.285714285714286,4,5,3,5,4,5,4,4,5,3,2015-09-09T16:25:00Z,NA,NA,NA,NA,NA,NA
57224,FrScA-S116-03,FrScA,S116,03,4.4,3,3.5,3.857142857142857,4,3,3,4,4,4,4,5,2,5,2015-09-09T17:34:00Z,2.25,1.6666666666666667,2,4,2016-01-14T21:55:00Z,NA
57489,PhysA-S116-01,PhysA,S116,01,4.6,3.6666666666666665,4.5,4.142857142857143,5,4,5,5,4,4,4,4,3,5,2015-09-28T14:22:00Z,4.25,4,4.142857142857143,4.5,2016-01-12T15:11:00Z,NA
57981,OcnA-S116-01,OcnA,S116,01,4.2,3.3333333333333335,2.5,3.857142857142857,4,2,2,4,4,4,3,4,4,5,2015-09-10T17:26:00Z,4,4.333333333333333,4.142857142857143,4,2015-11-17T15:38:00Z,NA
58168,AnPhA-S216-01,AnPhA,S216,01,4.2,4.666666666666667,3.5,4.285714285714286,4,5,3,5,4,5,4,4,4,4,2016-01-26T02:44:00Z,NA,NA,NA,NA,NA,NA
58178,OcnA-S116-01,OcnA,S116,01,4,4,4.5,4,4,4,4,4,5,5,5,4,3,3,2015-09-09T16:49:00Z,3.75,4,3.857142857142857,4,2015-09-18T16:26:00Z,NA
60186,AnPhA-S116-01,AnPhA,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,4,4,4,5,4,5,5,4,4,4,2015-09-17T16:41:00Z,NA,NA,NA,NA,NA,NA
61357,FrScA-S116-02,FrScA,S116,02,5,4.666666666666667,4.5,4.857142857142857,5,5,4,5,5,5,5,5,4,5,2015-09-09T18:32:00Z,NA,NA,NA,NA,NA,NA
61941,FrScA-S116-01,FrScA,S116,01,4.6,4.333333333333333,4,4.571428571428571,5,4,4,4,4,4,4,5,5,5,2015-09-14T18:22:00Z,4.5,4.333333333333333,4.428571428571429,4,2016-01-19T01:59:00Z,NA
61965,BioA-S116-01,BioA,S116,01,3.6,4,3,3.7142857142857144,3,4,3,4,4,5,3,4,3,3,2015-09-10T13:22:00Z,4.25,4.333333333333333,4.285714285714286,3.5,2016-01-20T21:06:00Z,NA
62157,FrScA-S116-02,FrScA,S116,02,5,4,5,4.571428571428571,5,4,5,5,5,5,5,5,3,5,2015-09-09T15:23:00Z,5,4,4.571428571428571,5,2015-09-09T15:21:00Z,NA
62175,OcnA-S216-01,OcnA,S216,01,3.2,2,2.5,2.7142857142857144,3,2,2,3,4,2,3,4,2,2,2016-02-07T22:57:00Z,NA,NA,NA,NA,NA,NA
62576,PhysA-S116-01,PhysA,S116,01,4,4.333333333333333,4,4.142857142857143,4,4,4,4,4,5,4,4,4,4,2015-09-10T13:57:00Z,4,4.333333333333333,4.142857142857143,4,2016-01-19T02:23:00Z,NA
62752,PhysA-S116-01,PhysA,S116,01,4.2,4.333333333333333,4,4.285714285714286,4,4,4,4,5,5,4,4,4,4,2015-09-09T13:21:00Z,4.5,4.666666666666667,4.571428571428571,4,2016-01-20T14:33:00Z,NA
62754,PhysA-S116-01,PhysA,S116,01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2015-09-09T13:20:00Z,4,3.6666666666666665,3.857142857142857,3.5,2016-01-14T20:39:00Z,NA
64930,FrScA-T116-01,FrScA,T116,01,5,3.3333333333333335,3,4.285714285714286,5,3,3,5,5,4,3,5,3,5,2015-09-08T22:57:00Z,NA,NA,NA,NA,NA,NA
65116,FrScA-S216-01,FrScA,S216,01,4.8,3.6666666666666665,3.5,4.428571428571429,5,3,3,4,5,4,4,5,4,5,2016-01-25T17:42:00Z,NA,NA,NA,NA,NA,NA
65627,AnPhA-S116-02,AnPhA,S116,02,4,4,3.5,4,4,4,3,4,4,4,4,4,4,4,2015-09-21T14:14:00Z,NA,NA,NA,NA,NA,NA
66508,AnPhA-T116-01,AnPhA,T116,01,4,3.6666666666666665,3.5,3.857142857142857,4,4,3,4,4,5,4,4,2,4,2015-09-09T17:37:00Z,NA,NA,NA,NA,NA,NA
66689,FrScA-S216-01,FrScA,S216,01,4.4,3.3333333333333335,3.5,3.857142857142857,4,3,3,5,5,4,4,4,3,4,2016-01-25T14:04:00Z,NA,NA,NA,NA,NA,NA
66693,AnPhA-S116-01,AnPhA,S116,01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2015-09-10T17:43:00Z,NA,NA,NA,NA,NA,NA
66740,OcnA-S116-01,OcnA,S116,01,4,3,3,3.5714285714285716,4,3,3,4,4,3,3,4,3,4,2015-09-09T14:08:00Z,4,3.6666666666666665,3.857142857142857,3.5,2015-09-12T22:46:00Z,NA
66811,AnPhA-S116-01,AnPhA,S116,01,4,4,NA,4,4,4,4,4,4,4,NA,4,4,4,2015-09-10T18:16:00Z,NA,NA,NA,NA,NA,NA
67013,AnPhA-S216-01,AnPhA,S216,01,4.2,4,2.5,4.142857142857143,4,4,2,4,4,4,3,4,4,5,2016-01-25T17:01:00Z,NA,NA,NA,NA,NA,NA
67102,PhysA-S216-01,PhysA,S216,01,3.8,3.6666666666666665,5,3.5714285714285716,3,4,5,5,4,5,5,4,2,3,2016-01-28T19:01:00Z,NA,NA,NA,NA,NA,NA
67463,FrScA-S216-01,FrScA,S216,01,3.2,4,3,3.4285714285714284,3,4,3,4,3,4,3,3,4,3,2016-01-25T15:03:00Z,NA,NA,NA,NA,NA,NA
67762,FrScA-S116-02,FrScA,S116,02,5,4.666666666666667,3.5,4.857142857142857,5,4,4,5,5,5,3,5,5,5,2015-09-10T01:18:00Z,NA,NA,NA,NA,NA,NA
67920,OcnA-S116-01,OcnA,S116,01,4.8,4.333333333333333,4.5,4.571428571428571,4,4,4,5,5,4,5,5,5,5,2015-09-09T14:25:00Z,5,4.666666666666667,4.857142857142857,5,2015-09-16T01:16:00Z,NA
68022,OcnA-S216-01,OcnA,S216,01,4.8,4,3.5,4.428571428571429,5,4,3,5,5,4,4,4,4,5,2016-02-05T20:57:00Z,NA,NA,NA,NA,NA,NA
68188,FrScA-S116-01,FrScA,S116,01,5,2.6666666666666665,5,4,5,1,5,5,5,5,5,5,2,5,2015-09-14T12:24:00Z,NA,NA,NA,NA,NA,NA
68476,OcnA-S116-02,OcnA,S116,02,4,3.6666666666666665,4,3.857142857142857,4,3,4,4,4,4,4,4,4,4,2015-09-08T20:08:00Z,NA,NA,NA,NA,NA,NA
68598,BioA-S116-01,BioA,S116,01,4.2,3.3333333333333335,4,3.857142857142857,4,3,4,4,4,3,4,4,4,5,2015-09-09T15:58:00Z,NA,NA,NA,NA,NA,NA
68768,FrScA-S116-02,FrScA,S116,02,4.6,2.6666666666666665,4,3.7142857142857144,4,3,3,5,4,3,5,5,2,5,2015-09-11T14:19:00Z,NA,NA,NA,NA,NA,NA
68795,FrScA-S216-01,FrScA,S216,01,5,3.6666666666666665,4.5,4.428571428571429,5,2,4,5,5,4,5,5,5,5,2016-01-25T19:27:00Z,NA,NA,NA,NA,NA,NA
69072,FrScA-S116-01,FrScA,S116,01,4,2.6666666666666665,3.5,3.4285714285714284,4,3,3,4,4,3,4,4,2,4,2015-09-09T12:48:00Z,NA,NA,NA,NA,NA,NA
69182,FrScA-S216-01,FrScA,S216,01,3.8,3.3333333333333335,3,3.5714285714285716,4,3,2,4,4,4,4,4,3,3,2016-01-25T14:41:00Z,NA,NA,NA,NA,NA,NA
69397,FrScA-S216-01,FrScA,S216,01,4.4,3.6666666666666665,4,4,4,4,3,5,4,4,5,5,3,4,2016-01-25T17:43:00Z,NA,NA,NA,NA,NA,NA
69743,AnPhA-S216-01,AnPhA,S216,01,4.2,4.666666666666667,4,4.285714285714286,4,5,3,5,4,4,5,4,5,4,2016-01-25T14:19:00Z,NA,NA,NA,NA,NA,NA
69937,BioA-S116-01,BioA,S116,01,NA,3.6666666666666665,2,NA,4,4,2,3,3,4,2,4,3,NA,2015-09-17T15:15:00Z,NA,NA,NA,NA,NA,NA
70037,FrScA-S116-01,FrScA,S116,01,5,4.666666666666667,4,4.857142857142857,5,4,3,5,5,5,5,5,5,5,2015-09-14T16:55:00Z,NA,NA,NA,NA,NA,NA
70068,FrScA-S116-03,FrScA,S116,03,4.8,2.3333333333333335,3,3.7142857142857144,5,2,3,5,5,3,3,5,2,4,2015-09-10T17:08:00Z,NA,NA,NA,NA,NA,NA
70187,PhysA-S216-01,PhysA,S216,01,4.4,4,4.5,4.142857142857143,4,4,4,5,4,4,5,4,4,5,2016-01-30T18:29:00Z,NA,NA,NA,NA,NA,NA
70192,AnPhA-S116-02,AnPhA,S116,02,4.8,4.333333333333333,4,4.571428571428571,5,4,4,5,4,5,4,5,4,5,2015-10-05T16:19:00Z,NA,NA,NA,NA,NA,NA
70408,BioA-S116-01,BioA,S116,01,3.4,2.6666666666666665,2.5,3.142857142857143,4,3,2,3,4,3,3,3,2,3,2015-09-10T15:17:00Z,1.75,1.6666666666666667,1.7142857142857142,2,2016-01-15T16:03:00Z,NA
70532,AnPhA-S116-01,AnPhA,S116,01,4.6,4.666666666666667,4,4.571428571428571,5,5,4,5,5,5,4,4,4,4,2015-09-11T17:18:00Z,NA,NA,NA,NA,NA,NA
70681,BioA-S116-01,BioA,S116,01,4.8,4.333333333333333,3.5,4.571428571428571,5,4,4,5,4,5,3,5,4,5,2015-09-09T14:00:00Z,NA,NA,NA,NA,NA,NA
71110,FrScA-S216-01,FrScA,S216,01,5,4.666666666666667,4.5,4.857142857142857,5,5,4,5,5,5,5,5,4,5,2016-02-02T19:37:00Z,NA,NA,NA,NA,NA,NA
71415,FrScA-S216-01,FrScA,S216,01,4.8,3.6666666666666665,4.5,4.428571428571429,5,4,5,4,5,4,4,5,3,5,2016-01-25T14:05:00Z,NA,NA,NA,NA,NA,NA
71434,BioA-S116-01,BioA,S116,01,3.6,2.6666666666666665,3,3.142857142857143,3,3,3,4,4,3,3,4,2,3,2015-09-14T18:36:00Z,3,2.3333333333333335,2.7142857142857144,3.5,2016-01-04T19:20:00Z,NA
71725,AnPhA-S216-01,AnPhA,S216,01,4.8,4.333333333333333,4,4.571428571428571,5,3,3,5,4,5,5,5,5,5,2016-02-02T18:52:00Z,NA,NA,NA,NA,NA,NA
72287,FrScA-T116-01,FrScA,T116,01,4.4,3.3333333333333335,4,4,4,3,3,4,5,4,5,5,3,4,2015-09-09T14:36:00Z,NA,NA,NA,NA,NA,NA
73132,FrScA-S116-03,FrScA,S116,03,4.6,4.333333333333333,4.5,4.428571428571429,4,5,4,5,4,4,5,5,4,5,2015-09-10T13:43:00Z,NA,NA,NA,NA,NA,NA
74551,PhysA-S116-01,PhysA,S116,01,3.8,3.3333333333333335,3.5,3.5714285714285716,4,4,3,4,4,4,4,4,2,3,2015-10-03T21:58:00Z,NA,NA,NA,NA,NA,NA
74552,AnPhA-S216-02,AnPhA,S216,02,4,4.333333333333333,3.5,4.142857142857143,4,4,3,4,4,5,4,4,4,4,2016-02-01T22:10:00Z,NA,NA,NA,NA,NA,NA
76132,AnPhA-T116-01,AnPhA,T116,01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2015-09-09T17:55:00Z,NA,NA,NA,NA,NA,NA
76133,PhysA-S116-01,PhysA,S116,01,3.2,3,2.5,3.142857142857143,4,4,2,3,3,3,3,3,2,3,2015-10-01T02:12:00Z,1.5,2.3333333333333335,1.8571428571428572,1.5,2016-01-20T12:55:00Z,NA
76426,PhysA-S116-01,PhysA,S116,01,4.6,4.333333333333333,4.5,4.428571428571429,4,4,4,5,5,5,5,5,4,4,2015-09-09T17:21:00Z,5,4.333333333333333,4.714285714285714,4.5,2015-11-04T18:04:00Z,NA
76443,OcnA-S216-01,OcnA,S216,01,3.6,4,2.5,3.857142857142857,4,4,3,3,3,4,2,4,4,4,2016-02-14T20:52:00Z,NA,NA,NA,NA,NA,NA
76673,AnPhA-S216-01,AnPhA,S216,01,4,4,3.5,4,4,4,4,4,4,4,3,4,4,4,2016-01-25T15:23:00Z,NA,NA,NA,NA,NA,NA
76674,AnPhA-S216-01,AnPhA,S216,01,4.8,5,4,4.857142857142857,5,5,4,5,4,5,4,5,5,5,2016-01-25T14:11:00Z,NA,NA,NA,NA,NA,NA
76840,FrScA-S116-01,FrScA,S116,01,5,4.333333333333333,3.5,4.714285714285714,5,4,3,5,5,4,4,5,5,5,2015-09-09T15:43:00Z,5,4,4.571428571428571,3.5,2015-09-09T15:48:00Z,NA
76930,AnPhA-S116-02,AnPhA,S116,02,4.6,4,3.5,4.285714285714286,4,4,4,5,5,5,3,5,3,4,2015-09-15T18:07:00Z,NA,NA,NA,NA,NA,NA
76998,AnPhA-S216-01,AnPhA,S216,01,3.4,3.3333333333333335,4,3.5714285714285716,4,3,3,2,4,4,5,4,3,3,2016-01-27T19:05:00Z,NA,NA,NA,NA,NA,NA
77010,AnPhA-S116-01,AnPhA,S116,01,NA,3.6666666666666665,3.5,3.857142857142857,4,4,3,NA,4,4,4,4,3,4,2015-09-11T13:52:00Z,NA,NA,NA,NA,NA,NA
77067,FrScA-S216-02,FrScA,S216,02,3.6,3,4.5,3.2857142857142856,4,3,4,4,3,3,5,3,3,4,2016-01-30T18:37:00Z,NA,NA,NA,NA,NA,NA
77141,FrScA-S216-02,FrScA,S216,02,4.2,4,3.5,4.142857142857143,5,4,3,4,4,4,4,4,4,4,2016-02-08T20:36:00Z,NA,NA,NA,NA,NA,NA
77169,BioA-S116-01,BioA,S116,01,4,3.3333333333333335,3,3.7142857142857144,4,3,3,4,4,4,3,4,3,4,2015-09-14T23:54:00Z,NA,NA,NA,NA,NA,NA
77190,FrScA-S216-01,FrScA,S216,01,5,3.3333333333333335,4.5,4.285714285714286,5,2,4,5,5,4,5,5,4,5,2016-01-25T16:25:00Z,NA,NA,NA,NA,NA,NA
77246,FrScA-S116-01,FrScA,S116,01,4.6,4,4,4.285714285714286,5,3,4,5,4,5,4,4,4,5,2015-09-14T12:31:00Z,NA,NA,NA,NA,NA,NA
77298,FrScA-S116-02,FrScA,S116,02,4.6,2.6666666666666665,4,3.7142857142857144,4,2,4,5,5,4,4,5,2,4,2015-09-09T14:16:00Z,NA,NA,NA,NA,NA,NA
77976,FrScA-S116-03,FrScA,S116,03,3.4,2.6666666666666665,3,3.2857142857142856,4,3,2,2,4,3,4,4,2,3,2015-09-10T18:03:00Z,2.75,1.3333333333333333,2.142857142857143,2.5,2016-01-13T18:13:00Z,NA
77980,FrScA-S216-02,FrScA,S216,02,4.4,4.333333333333333,4,4.428571428571429,4,4,4,4,5,4,4,5,5,4,2016-01-25T21:05:00Z,NA,NA,NA,NA,NA,NA
78002,OcnA-S216-02,OcnA,S216,02,3.8,4,3,3.857142857142857,4,4,2,4,4,4,4,4,4,3,2016-02-04T13:05:00Z,NA,NA,NA,NA,NA,NA
78153,PhysA-S216-01,PhysA,S216,01,4.2,4.666666666666667,4.5,4.285714285714286,4,5,4,5,4,5,5,4,4,4,2016-01-27T00:26:00Z,NA,NA,NA,NA,NA,NA
78164,AnPhA-S216-01,AnPhA,S216,01,4.6,4,4,4.428571428571429,4,3,3,4,5,5,5,5,4,5,2016-02-01T15:43:00Z,NA,NA,NA,NA,NA,NA
78241,OcnA-S216-02,OcnA,S216,02,4.6,3.6666666666666665,3.5,4.142857142857143,4,4,3,5,5,4,4,4,3,5,2016-01-26T15:44:00Z,NA,NA,NA,NA,NA,NA
78691,FrScA-S116-03,FrScA,S116,03,4,2,3,3.142857142857143,4,1,3,4,4,3,3,4,2,4,2015-09-10T18:11:00Z,2.75,1.3333333333333333,2.142857142857143,5,2016-01-15T19:49:00Z,NA
79220,AnPhA-S116-02,AnPhA,S116,02,4,4,3,4,4,4,3,4,4,4,3,4,4,4,2015-09-27T19:41:00Z,NA,NA,NA,NA,NA,NA
79352,PhysA-S116-01,PhysA,S116,01,3.8,4,3.5,3.857142857142857,4,5,3,4,4,4,4,4,3,3,2015-10-26T18:12:00Z,NA,NA,NA,NA,NA,NA
79596,PhysA-S116-01,PhysA,S116,01,3,4,3.5,3.4285714285714284,4,5,3,3,3,5,4,3,2,2,2015-09-16T13:48:00Z,1.5,1.6666666666666667,1.5714285714285714,1.5,2016-01-18T03:14:00Z,NA
79859,AnPhA-T116-01,AnPhA,T116,01,5,4.666666666666667,4.5,4.857142857142857,5,4,4,5,5,5,5,5,5,5,2015-09-09T14:28:00Z,NA,NA,NA,NA,NA,NA
79893,OcnA-T116-01,OcnA,T116,01,4,4,3.5,4,4,4,4,4,4,4,3,4,4,4,2015-09-11T21:03:00Z,NA,NA,NA,NA,NA,NA
80623,AnPhA-S116-01,AnPhA,S116,01,1.8,1,3,1,1,1,1,5,1,1,5,1,1,1,2015-09-02T15:40:00Z,1,1,1,3,2015-09-02T15:31:00Z,NA
80822,OcnA-S216-01,OcnA,S216,01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2016-01-27T17:45:00Z,NA,NA,NA,NA,NA,NA
84632,PhysA-T116-01,PhysA,T116,01,4.4,4,3.5,4.142857142857143,4,4,3,5,5,5,4,4,3,4,2015-09-09T12:24:00Z,NA,NA,NA,NA,NA,NA
84640,AnPhA-T116-01,AnPhA,T116,01,5,5,4,5,5,5,5,5,5,5,3,5,5,5,2015-09-16T16:11:00Z,NA,NA,NA,NA,NA,NA
84641,AnPhA-T116-01,AnPhA,T116,01,4,4,3,4,4,4,3,4,4,4,3,4,4,4,2015-09-16T21:31:00Z,NA,NA,NA,NA,NA,NA
84645,OcnA-T116-01,OcnA,T116,01,3.8,4,3,4,5,4,2,3,3,4,4,4,4,4,2015-09-09T16:11:00Z,NA,NA,NA,NA,NA,NA
84684,OcnA-T116-01,OcnA,T116,01,5,4.333333333333333,4.5,4.714285714285714,5,4,4,5,5,5,5,5,4,5,2015-09-09T17:07:00Z,NA,NA,NA,NA,NA,NA
84685,OcnA-T116-01,OcnA,T116,01,4.6,3.6666666666666665,4,4.285714285714286,4,4,3,4,5,3,5,5,4,5,2015-09-11T17:40:00Z,NA,NA,NA,NA,NA,NA
84749,AnPhA-T116-01,AnPhA,T116,01,5,4,4,4.571428571428571,5,4,3,5,5,5,5,5,3,5,2015-09-20T15:42:00Z,NA,NA,NA,NA,NA,NA
84794,BioA-T116-01,BioA,T116,01,2.8,3.3333333333333335,4,3.142857142857143,3,3,3,2,3,3,5,3,4,3,2015-09-10T12:47:00Z,NA,NA,NA,NA,NA,NA
84932,OcnA-S216-01,OcnA,S216,01,5,4.666666666666667,4.5,4.857142857142857,5,4,4,5,5,5,5,5,5,5,2016-02-07T18:22:00Z,NA,NA,NA,NA,NA,NA
85123,FrScA-S216-01,FrScA,S216,01,4,4.333333333333333,4,4.142857142857143,4,4,3,4,4,5,5,4,4,4,2016-01-27T13:36:00Z,NA,NA,NA,NA,NA,NA
85248,AnPhA-S216-01,AnPhA,S216,01,4.2,4,3.5,4.142857142857143,4,4,3,4,4,4,4,5,4,4,2016-01-25T22:43:00Z,NA,NA,NA,NA,NA,NA
85249,AnPhA-S116-01,AnPhA,S116,01,4,4,4.5,4,4,4,4,4,4,4,5,4,4,4,2015-09-11T14:06:00Z,NA,NA,NA,NA,NA,NA
85258,FrScA-S216-01,FrScA,S216,01,4,3.6666666666666665,3,3.857142857142857,4,3,3,4,4,4,3,4,4,4,2016-01-27T12:53:00Z,NA,NA,NA,NA,NA,NA
85287,FrScA-S216-01,FrScA,S216,01,4.6,3.6666666666666665,4,4.285714285714286,4,3,4,4,5,4,4,5,4,5,2016-01-25T15:20:00Z,NA,NA,NA,NA,NA,NA
85292,BioA-S116-01,BioA,S116,01,2.4,3,3,2.7142857142857144,3,3,2,2,3,4,4,2,2,2,2015-09-13T02:43:00Z,3,3.6666666666666665,3.2857142857142856,2.5,2016-01-16T23:48:00Z,NA
85323,FrScA-S116-01,FrScA,S116,01,5,4.333333333333333,4,4.714285714285714,5,5,4,5,5,5,4,5,3,5,2015-09-10T20:22:00Z,NA,NA,NA,NA,NA,NA
85348,FrScA-S216-03,FrScA,S216,03,4.4,3,4,3.7142857142857144,4,2,3,5,4,4,5,5,3,4,2016-01-26T19:13:00Z,NA,NA,NA,NA,NA,NA
85390,PhysA-S116-01,PhysA,S116,01,3.6,4.333333333333333,3.5,3.857142857142857,3,5,3,4,4,4,4,4,4,3,2015-09-09T18:11:00Z,NA,NA,NA,NA,NA,NA
85410,OcnA-S116-02,OcnA,S116,02,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2015-09-09T11:49:00Z,NA,NA,NA,NA,NA,NA
85411,AnPhA-S116-01,AnPhA,S116,01,4.4,4,3.5,4.142857142857143,4,4,4,5,5,4,3,4,4,4,2015-09-10T12:08:00Z,NA,NA,NA,NA,NA,NA
85416,FrScA-S116-01,FrScA,S116,01,4.8,3.3333333333333335,4,4.142857142857143,5,3,4,5,5,4,4,5,3,4,2015-09-09T21:46:00Z,5,4.666666666666667,4.857142857142857,4,2016-01-04T13:25:00Z,NA
